Gen:        Individual:       Power:        Sensors:      Fairness:       Fitness
8             9               10.8435         32            25.5          3.87 
8             10              8.70925         38            23.5          2.73 
8             11              8.82175         41            24.0          2.85 
8             12              10.29725        34            28.5          3.84 
8             13              8.68925         51            25.5          3.47 
8             14              7.105           54            18            1.25 
8             15              7.17            56            17.0          1.02 
8             16              9.71975         37            27.5          3.95 
8             17              8.11075         40            22.0          2.27 
8             18              8.398           40            24.0          2.25 
8             19              7.30175         50            17.0          1.45 
8             20              9.956           41            28.5          4.34 
8             21              7.37475         57            19.5          2.35 
8             22              10.40675        31            26.0          2.24 
8             23              8.2125          47            19.0          2.96 
8             24              8.78275         49            20.5          2.85 
8             25              7.22125         52            16.5          1.44 
8             26              8.013           45            26            4.76 
8             27              12.03175        33            39.5          4.58 
8             28              7.6825          46            18            2.51 
8             29              8.0775          48            20.0          2.54 
8             30              7.32625         53            17.0          1.64 
8             31              11.7995         32            27.5          3.15 
8             32              7.485           47            18.0          2.64 
8             33              7.80425         55            21.0          4.08 
8             34              9.785           37            25.0          4.12 
8             35              9.3185          39            24.5          4.72 
8             36              11.77625        31            29.0          5.97 
9             1               8.28325         45            28            6.42 
9             2               8.34425         44            20.0          3.92 
9             3               9.79575         42            25.0          5.69 
9             4               9.9475          38            32            6.03 
9             5               7.824           49            26            2.95 
9             6               7.20475         54            26            2.35 
9             7               7.5805          56            17.5          1.75 
9             8               7.1805          53            17.5          1.0  
9             9               10.8435         32            25.5          3.87 
9             10              8.70925         38            23.5          2.73 
9             11              8.82175         41            24.0          2.85 
9             12              10.29725        34            28.5          3.84 
9             13              8.68925         51            25.5          3.47 
9             14              7.105           54            18            1.25 
9             15              7.17            56            17.0          1.02 
9             16              9.71975         37            27.5          3.95 
9             17              8.11075         40            22.0          2.27 
9             18              8.52            39            23.0          2.12 
9             19              7.30175         50            17.0          1.45 
9             20              9.956           41            28.5          4.34 
9             21              7.37475         57            19.5          2.35 
9             22              10.40675        31            26.0          2.24 
9             23              8.2125          47            19.0          2.96 
9             24              8.78275         49            20.5          2.85 
9             25              7.22125         52            16.5          1.44 
9             26              7.98875         45            26            4.75 
9             27              12.03175        33            39.5          4.58 
9             28              7.6825          46            18            2.51 
9             29              8.0775          48            20.0          2.54 
9             30              7.32625         53            17.0          1.64 
9             31              11.7995         32            27.5          3.15 
9             32              7.485           47            18.0          2.64 
9             33              7.80425         55            21.0          4.08 
9             34              12.037          30            28.5          3.37 
9             35              10.3265         34            25.0          4.45 
9             36              11.77625        31            29.0          5.97 
10            1               8.28325         45            28            6.42 
10            2               8.34425         44            20.0          3.92 
10            3               9.79575         42            25.0          5.69 
10            4               9.9475          38            32            6.03 
10            5               7.824           49            26            2.95 
10            6               7.20475         54            26            2.35 
10            7               7.5805          56            17.5          1.75 
10            8               7.1805          53            17.5          1.0  
10            9               10.8435         32            25.5          3.87 
10            10              8.70925         38            23.5          2.73 
10            11              8.82175         41            24.0          2.85 
10            12              10.29725        34            28.5          3.84 
10            13              8.68925         51            25.5          3.47 
10            14              7.105           54            18            1.25 
10            15              7.17            56            17.0          1.02 
10            16              9.71975         37            27.5          3.95 
10            17              8.11075         40            22.0          2.27 
10            18              8.20625         39            18            1.46 
10            19              7.30175         50            17.0          1.45 
10            20              10.824          39            25.5          4.08 
10            21              7.37475         57            19.5          2.35 
10            22              10.40675        31            26.0          2.24 
10            23              8.2125          47            19.0          2.96 
10            24              8.78275         49            20.5          2.85 
10            25              7.22125         52            16.5          1.44 
10            26              7.98525         45            26            4.74 
10            27              10.4725         35            28.0          3.51 
10            28              7.6825          46            18            2.51 
10            29              8.0775          48            20.0          2.54 
10            30              7.32625         53            17.0          1.64 
10            31              14.43125        24            38.5          4.53 
10            32              7.485           47            18.0          3.01 
10            33              7.80425         55            21.0          4.2  
10            34              12.6695         27            27.0          3.8  
10            35              9.94225         34            25.0          4.93 
10            36              11.77625        31            29.0          7.26 
11            1               8.28325         45            28            7.07 
11            2               8.34425         44            20.0          4.16 
11            3               9.79575         42            25.0          5.57 
11            4               9.9475          38            32            5.85 
11            5               7.824           49            26            2.98 
11            6               7.20475         54            26            2.42 
11            7               7.5805          56            17.5          1.74 
11            8               7.1805          53            17.5          1.06 
11            9               10.8435         32            25.5          4.92 
11            10              8.70925         38            23.5          3.15 
11            11              8.82175         41            24.0          3.04 
11            12              10.29725        34            28.5          3.89 
11            13              8.68925         51            25.5          3.46 
11            14              7.105           54            18            1.34 
11            15              7.17            56            17.0          1.08 
11            16              10.73425        35            27.5          4.95 
11            17              8.11075         40            22.0          2.73 
11            18              8.20625         39            18            1.76 
11            19              7.30175         50            17.0          1.6  
11            20              9.709           40            22.5          3.02 
11            21              7.37475         57            19.5          2.4  
11            22              10.40675        31            26.0          3.5  
11            23              9.22425         40            21.0          3.01 
11            24              8.78275         49            20.5          3.0  
11            25              7.22125         52            16.5          1.58 
11            26              7.98525         45            26            4.88 
11            27              10.261          35            26.0          4.37 
11            28              7.6825          46            18            2.89 
11            29              8.0775          48            20.0          2.75 
11            30              7.32625         53            17.0          1.77 
11            31              13.23875        25            28.5          3.16 
11            32              7.485           47            18.0          3.01 
11            33              7.80425         55            21.0          4.2  
11            34              12.30025        27            26.0          3.52 
11            35              9.94225         34            25.0          4.93 
11            36              11.77625        31            29.0          7.26 
12            1               8.28325         45            28            7.07 
12            2               8.34425         44            20.0          4.16 
12            3               9.79575         42            25.0          5.57 
12            4               9.9475          38            32            5.85 
12            5               7.824           49            26            2.98 
12            6               7.20475         54            26            2.42 
12            7               7.5805          56            17.5          1.74 
12            8               7.1805          53            17.5          1.06 
12            9               10.8435         32            25.5          4.92 
12            10              8.70925         38            23.5          3.15 
12            11              8.82175         41            24.0          3.04 
12            12              10.29725        34            28.5          3.89 
12            13              8.68925         51            25.5          3.46 
12            14              7.105           54            18            1.34 
12            15              7.17            56            17.0          1.08 
12            16              10.04775        36            26.0          4.78 
12            17              8.11075         40            22.0          2.73 
12            18              8.20625         39            18            1.76 
12            19              7.30175         50            17.0          1.6  
12            20              9.49125         41            22.5          2.97 
12            21              7.37475         57            19.5          2.4  
12            22              10.40675        31            26.0          3.5  
12            23              9.22425         40            21.0          3.01 
12            24              8.78275         49            20.5          3.0  
12            25              7.22125         52            16.5          1.58 
12            26              7.98525         45            26            4.88 
12            27              10.62925        31            26.0          3.52 
12            28              7.6825          46            18            2.89 
12            29              8.0775          48            20.0          2.75 
12            30              7.32625         53            17.0          1.77 
12            31              13.23875        25            28.5          3.16 
12            32              7.485           47            18.0          3.01 
12            33              7.80425         55            21.0          4.2  
12            34              12.30025        27            26.0          3.52 
12            35              9.94225         34            25.0          4.93 
12            36              9.69275         35            25.0          6.25 
13            1               9.07325         40            25.5          6.84 
13            2               8.34425         44            20.0          4.16 
13            3               9.534           38            28.5          5.12 
13            4               9.9475          38            32            5.85 
13            5               7.824           49            26            2.98 
13            6               7.20475         54            26            2.42 
13            7               7.5805          56            17.5          1.74 
13            8               7.1805          53            17.5          1.06 
13            9               10.8435         32            25.5          4.92 
13            10              8.70925         38            23.5          3.15 
13            11              8.82175         41            24.0          3.04 
13            12              10.29725        34            28.5          3.89 
13            13              8.68925         51            25.5          3.46 
13            14              7.105           54            18            1.34 
13            15              7.17            56            17.0          1.08 
13            16              10.28675        34            26.0          4.41 
13            17              8.11075         40            22.0          2.73 
13            18              8.20625         39            18            1.76 
13            19              7.30175         50            17.0          1.6  
13            20              9.49125         41            22.5          2.97 
13            21              7.37475         57            19.5          2.4  
13            22              10.40675        31            26.0          3.5  
13            23              9.22425         40            21.0          3.01 
13            24              8.78275         49            20.5          3.0  
13            25              7.22125         52            16.5          1.58 
13            26              7.98525         45            26            4.88 
13            27              10.62925        31            26.0          3.52 
13            28              7.6825          46            18            2.89 
13            29              8.0775          48            20.0          2.75 
13            30              7.32625         53            17.0          1.77 
13            31              13.23875        25            28.5          3.16 
13            32              7.485           47            18.0          3.01 
13            33              7.80425         55            21.0          4.2  
13            34              12.30025        27            26.0          3.52 
13            35              9.94225         34            25.0          4.93 
13            36              9.69275         35            25.0          6.25 
14            1               9.07325         40            25.5          6.84 
14            2               8.34425         44            20.0          4.16 
14            3               9.203           38            24.5          4.4  
14            4               9.9475          38            32            5.85 
14            5               7.824           49            26            2.98 
14            6               7.20475         54            26            2.42 
14            7               7.5805          56            17.5          1.74 
14            8               7.1805          53            17.5          1.06 
14            9               11.1995         30            25.0          4.66 
14            10              8.70925         38            23.5          3.15 
14            11              8.82175         41            24.0          3.04 
14            12              9.703           40            27.5          3.74 
14            13              8.68925         51            25.5          3.46 
14            14              7.105           54            18            1.34 
14            15              7.17            56            17.0          1.08 
14            16              9.7145          32            23.0          3.47 
14            17              8.11075         40            22.0          2.73 
14            18              8.20625         39            18            1.76 
14            19              7.30175         50            17.0          1.6  
14            20              9.49125         41            22.5          2.97 
14            21              7.37475         57            19.5          2.4  
14            22              10.40675        31            26.0          3.5  
14            23              9.22425         40            21.0          3.01 
14            24              8.78275         49            20.5          3.0  
14            25              7.22125         52            16.5          1.58 
14            26              7.98525         45            26            4.88 
14            27              10.62925        31            26.0          3.52 
14            28              7.6825          46            18            2.89 
14            29              8.0775          48            20.0          2.75 
14            30              7.32625         53            17.0          1.77 
14            31              13.23875        25            28.5          3.16 
14            32              7.485           47            18.0          3.01 
14            33              7.80425         55            21.0          4.2  
14            34              12.30025        27            26.0          3.52 
14            35              9.94225         34            25.0          4.93 
14            36              9.69275         35            25.0          6.25 
15            1               8.708           40            28            6.47 
15            2               8.34425         44            20.0          4.16 
15            3               9.188           38            24.0          4.35 
15            4               9.9475          38            32            5.85 
15            5               7.824           49            26            2.98 
15            6               7.20475         54            26            2.42 
15            7               7.5805          56            17.5          1.74 
15            8               7.1805          53            17.5          1.06 
15            9               11.1995         30            25.0          4.66 
15            10              8.70925         38            23.5          3.15 
15            11              8.82175         41            24.0          3.04 
15            12              9.703           40            27.5          3.74 
15            13              8.68925         51            25.5          3.46 
15            14              7.105           54            18            1.34 
15            15              7.17            56            17.0          1.08 
15            16              9.7145          32            23.0          3.47 
15            17              8.11075         40            22.0          2.73 
15            18              8.20625         39            18            1.76 
15            19              7.30175         50            17.0          1.6  
15            20              9.49125         41            22.5          2.97 
15            21              7.37475         57            19.5          2.4  
15            22              10.40675        31            26.0          3.5  
15            23              9.22425         40            21.0          3.01 
15            24              8.78275         49            20.5          3.0  
15            25              7.22125         52            16.5          1.58 
15            26              7.98525         45            26            4.88 
15            27              10.62925        31            26.0          3.52 
15            28              7.6825          46            18            2.89 
15            29              8.0775          48            20.0          2.75 
15            30              7.32625         53            17.0          1.77 
15            31              13.23875        25            28.5          3.16 
15            32              7.485           47            18.0          3.01 
15            33              7.80425         55            21.0          4.2  
15            34              12.30025        27            26.0          3.52 
15            35              9.94225         34            25.0          4.93 
15            36              9.69275         35            25.0          6.25 
16            1               8.708           40            28            6.47 
16            2               8.34425         44            20.0          4.16 
16            3               9.188           38            24.0          4.35 
16            4               9.9475          38            32            5.85 
16            5               7.824           49            26            2.98 
16            6               7.20475         54            26            2.42 
16            7               7.5805          56            17.5          1.74 
16            8               7.1805          53            17.5          1.06 
16            9               11.1995         30            25.0          4.66 
16            10              8.70925         38            23.5          3.15 
16            11              8.82175         41            24.0          3.04 
16            12              9.39175         37            22.5          2.85 
16            13              8.68925         51            25.5          3.46 
16            14              7.105           54            18            1.34 
16            15              7.17            56            17.0          1.08 
16            16              9.7145          32            23.0          3.47 
16            17              8.11075         40            22.0          2.73 
16            18              8.20625         39            18            1.76 
16            19              7.30175         50            17.0          1.6  
16            20              9.49125         41            22.5          2.97 
16            21              7.37475         57            19.5          2.4  
16            22              10.40675        31            26.0          3.5  
